dataset,variable,label
NFHS-5 Household,hv104_13,sex of household member
NFHS-5 Household,hv104_14,sex of household member
NFHS-5 Household,hv104_15,sex of household member
NFHS-5 Household,hv104_16,sex of household member
NFHS-5 Household,hv104_17,sex of household member
NFHS-5 Household,hv104_18,sex of household member
NFHS-5 Household,hv104_19,sex of household member
NFHS-5 Household,hv104_20,sex of household member
NFHS-5 Household,hv104_21,sex of household member
NFHS-5 Household,hv104_22,sex of household member
NFHS-5 Household,hv104_23,sex of household member
NFHS-5 Household,hv104_24,sex of household member
NFHS-5 Household,hv104_25,sex of household member
NFHS-5 Household,hv104_26,sex of household member
NFHS-5 Household,hv104_27,sex of household member
NFHS-5 Household,hv104_28,sex of household member
NFHS-5 Household,hv104_29,sex of household member
NFHS-5 Household,hv104_30,sex of household member
NFHS-5 Household,hv104_31,sex of household member
NFHS-5 Household,hv104_32,sex of household member
NFHS-5 Household,hv104_33,sex of household member
NFHS-5 Household,hv104_34,sex of household member
NFHS-5 Household,hv104_35,sex of household member
NFHS-5 Household,hv105_01,age of household members
NFHS-5 Household,hv105_02,age of household members
NFHS-5 Household,hv105_03,age of household members
NFHS-5 Household,hv105_04,age of household members
NFHS-5 Household,hv105_05,age of household members
NFHS-5 Household,hv105_06,age of household members
NFHS-5 Household,hv105_07,age of household members
NFHS-5 Household,hv105_08,age of household members
NFHS-5 Household,hv105_09,age of household members
NFHS-5 Household,hv105_10,age of household members
NFHS-5 Household,hv105_11,age of household members
NFHS-5 Household,hv105_12,age of household members
NFHS-5 Household,hv105_13,age of household members
NFHS-5 Household,hv105_14,age of household members
NFHS-5 Household,hv105_15,age of household members
NFHS-5 Household,hv105_16,age of household members
NFHS-5 Household,hv105_17,age of household members
NFHS-5 Household,hv105_18,age of household members
NFHS-5 Household,hv105_19,age of household members
NFHS-5 Household,hv105_20,age of household members
NFHS-5 Household,hv105_21,age of household members
NFHS-5 Household,hv105_22,age of household members
NFHS-5 Household,hv105_23,age of household members
NFHS-5 Household,hv105_24,age of household members
NFHS-5 Household,hv105_25,age of household members
NFHS-5 Household,hv105_26,age of household members
NFHS-5 Household,hv105_27,age of household members
NFHS-5 Household,hv105_28,age of household members
NFHS-5 Household,hv105_29,age of household members
NFHS-5 Household,hv105_30,age of household members
NFHS-5 Household,hv105_31,age of household members
NFHS-5 Household,hv105_32,age of household members
NFHS-5 Household,hv105_33,age of household members
NFHS-5 Household,hv105_34,age of household members
NFHS-5 Household,hv105_35,age of household members
NFHS-5 Household,hv106_01,highest educational level attained
NFHS-5 Household,hv106_02,highest educational level attained
NFHS-5 Household,hv106_03,highest educational level attained
NFHS-5 Household,hv106_04,highest educational level attained
NFHS-5 Household,hv106_05,highest educational level attained
NFHS-5 Household,hv106_06,highest educational level attained
NFHS-5 Household,hv106_07,highest educational level attained
NFHS-5 Household,hv106_08,highest educational level attained
NFHS-5 Household,hv106_09,highest educational level attained
NFHS-5 Household,hv106_10,highest educational level attained
NFHS-5 Household,hv106_11,highest educational level attained
NFHS-5 Household,hv106_12,highest educational level attained
NFHS-5 Household,hv106_13,highest educational level attained
NFHS-5 Household,hv106_14,highest educational level attained
NFHS-5 Household,hv106_15,highest educational level attained
NFHS-5 Household,hv106_16,highest educational level attained
NFHS-5 Household,hv106_17,highest educational level attained
NFHS-5 Household,hv106_18,highest educational level attained
NFHS-5 Household,hv106_19,highest educational level attained
NFHS-5 Household,hv106_20,highest educational level attained
NFHS-5 Household,hv106_21,highest educational level attained
NFHS-5 Household,hv106_22,highest educational level attained
NFHS-5 Household,hv106_23,highest educational level attained
NFHS-5 Household,hv106_24,highest educational level attained
NFHS-5 Household,hv106_25,highest educational level attained
NFHS-5 Household,hv106_26,highest educational level attained
NFHS-5 Household,hv106_27,highest educational level attained
NFHS-5 Household,hv106_28,highest educational level attained
NFHS-5 Household,hv106_29,highest educational level attained
NFHS-5 Household,hv106_30,highest educational level attained
NFHS-5 Household,hv106_31,highest educational level attained
NFHS-5 Household,hv106_32,highest educational level attained
NFHS-5 Household,hv106_33,highest educational level attained
NFHS-5 Household,hv106_34,highest educational level attained
NFHS-5 Household,hv106_35,highest educational level attained
NFHS-5 Household,hv107_01,highest year of education completed
NFHS-5 Household,hv107_02,highest year of education completed
NFHS-5 Household,hv107_03,highest year of education completed
NFHS-5 Household,hv107_04,highest year of education completed
NFHS-5 Household,hv107_05,highest year of education completed
NFHS-5 Household,hv107_06,highest year of education completed
NFHS-5 Household,hv107_07,highest year of education completed
NFHS-5 Household,hv107_08,highest year of education completed
NFHS-5 Household,hv107_09,highest year of education completed
NFHS-5 Household,hv107_10,highest year of education completed
NFHS-5 Household,hv107_11,highest year of education completed
NFHS-5 Household,hv107_12,highest year of education completed
NFHS-5 Household,hv107_13,highest year of education completed
NFHS-5 Household,hv107_14,highest year of education completed
NFHS-5 Household,hv107_15,highest year of education completed
NFHS-5 Household,hv107_16,highest year of education completed
NFHS-5 Household,hv107_17,highest year of education completed
NFHS-5 Household,hv107_18,highest year of education completed
NFHS-5 Household,hv107_19,highest year of education completed
NFHS-5 Household,hv107_20,highest year of education completed
NFHS-5 Household,hv107_21,highest year of education completed
NFHS-5 Household,hv107_22,highest year of education completed
NFHS-5 Household,hv107_23,highest year of education completed
NFHS-5 Household,hv107_24,highest year of education completed
NFHS-5 Household,hv107_25,highest year of education completed
NFHS-5 Household,hv107_26,highest year of education completed
NFHS-5 Household,hv107_27,highest year of education completed
NFHS-5 Household,hv107_28,highest year of education completed
NFHS-5 Household,hv107_29,highest year of education completed
NFHS-5 Household,hv107_30,highest year of education completed
NFHS-5 Household,hv107_31,highest year of education completed
NFHS-5 Household,hv107_32,highest year of education completed
NFHS-5 Household,hv107_33,highest year of education completed
NFHS-5 Household,hv107_34,highest year of education completed
NFHS-5 Household,hv107_35,highest year of education completed
NFHS-5 Household,hv108_01,education completed in single years
NFHS-5 Household,hv108_02,education completed in single years
NFHS-5 Household,hv108_03,education completed in single years
NFHS-5 Household,hv108_04,education completed in single years
NFHS-5 Household,hv108_05,education completed in single years
NFHS-5 Household,hv108_06,education completed in single years
NFHS-5 Household,hv108_07,education completed in single years
NFHS-5 Household,hv108_08,education completed in single years
NFHS-5 Household,hv108_09,education completed in single years
NFHS-5 Household,hv108_10,education completed in single years
NFHS-5 Household,hv108_11,education completed in single years
NFHS-5 Household,hv108_12,education completed in single years
NFHS-5 Household,hv108_13,education completed in single years
NFHS-5 Household,hv108_14,education completed in single years
NFHS-5 Household,hv108_15,education completed in single years
NFHS-5 Household,hv108_16,education completed in single years
NFHS-5 Household,hv108_17,education completed in single years
NFHS-5 Household,hv108_18,education completed in single years
NFHS-5 Household,hv108_19,education completed in single years
NFHS-5 Household,hv108_20,education completed in single years
NFHS-5 Household,hv108_21,education completed in single years
