state_canon,round,bank_account_use,mobile_use,decisions,child_marriage,literacy,pop_2011,deposits_cr_2013,offices_2013,deposits_cr_2016,offices_2020,deposits_cr_2020,deposits_pc,log_deposits_pc,branch_density,log_branch,deposits_pc_std,log_deposits_pc_std,branch_density_std,log_branch_std,t,state_code
HARYANA,NFHS-5,73.63,50.4,87.53,12.46,81.67,25351462.0,185116.2,3647.0,252602.4404,10078.0,951525.9516,375333.75850276405,12.835570931791256,39.753131397313496,3.6826886152884786,0.8653194971504953,1.3503447165752243,1.3358424167946712,1.4002124793205057,2,12
HIMACHAL PRADESH,NFHS-3,22.2,,79.2,12.3,79.5,6864602.0,49414.7,1308.0,66349.9389,3230.0,208976.5981,71984.79970142478,11.18421026045224,19.05427292070247,2.947291376720501,-0.42259210415659193,-0.36393306378000523,-0.03952971906074894,0.29872613162626627,0,13
HIMACHAL PRADESH,NFHS-4,68.8,73.9,90.8,8.6,88.2,6864602.0,49414.7,1308.0,66349.9389,3230.0,208976.5981,96655.18685569824,11.478905149577225,19.05427292070247,2.947291376720501,-0.317850429913582,-0.05801025165346118,-0.03952971906074894,0.29872613162626627,1,13
HIMACHAL PRADESH,NFHS-5,83.09,79.5,93.88,5.4,91.73,6864602.0,49414.7,1308.0,66349.9389,3230.0,208976.5981,304426.38640958356,12.6261845845558,47.05298282405885,3.8512742609200594,0.564272058260778,1.1329807155999352,1.8208939117635774,1.6527219766936596,2,13
INDIA,NFHS-3,15.1,,76.5,47.4,55.1,,,,,,,,,,,,,,,0,14
INDIA,NFHS-4,53.0,45.9,84.0,26.8,68.4,,,,,,,,,,,,,,,1,14
INDIA,NFHS-5,78.56,53.95,88.7,23.25,71.46,,,,,,,,,,,,,,,2,14
JAMMU AND KASHMIR,NFHS-3,21.9,,60.4,14.4,53.9,12541302.0,61178.2,1400.0,80314.309,3488.0,256007.4968,48781.378520348204,10.795103931320345,11.163115281013088,2.4126150650430613,-0.5211055635309289,-0.7678644070676746,-0.563871597601308,-0.5021181289464776,0,15
JAMMU AND KASHMIR,NFHS-4,60.3,54.2,84.0,8.7,69.0,12541302.0,61178.2,1400.0,80314.309,3488.0,256007.4968,64039.84929156477,11.067260813759423,11.163115281013088,2.4126150650430613,-0.4563235329543064,-0.4853383033318042,-0.563871597601308,-0.5021181289464776,1,15
JAMMU AND KASHMIR,NFHS-5,84.89,75.21,81.57,4.46,77.27,12541302.0,61178.2,1400.0,80314.309,3488.0,256007.4968,204131.51425585637,12.226519742835723,27.812104357266893,3.3254713344685816,0.13845576435027424,0.7180885786845217,0.5423998275362331,0.8651683734305096,2,15
JHARKHAND,NFHS-3,14.4,,77.7,63.2,37.1,32988134.0,112971.5,2441.0,159622.4077,6178.0,475370.9583,34246.10194683943,10.441328025442209,7.399630424685434,2.001430056352874,-0.5828171692051344,-1.135119232253847,-0.8139429825018719,-1.117995711422486,0,16
JHARKHAND,NFHS-4,45.1,35.2,86.6,38.0,59.0,32988134.0,112971.5,2441.0,159622.4077,6178.0,475370.9583,48387.82566482845,10.787003525213624,7.399630424685434,2.001430056352874,-0.5227764487396807,-0.7762734399589235,-0.8139429825018719,-1.117995711422486,1,16
