snapshot_label,snapshot_year,snapshot_month,source_file,sheet_name,row_type,region_name_raw,state_name_raw,district_name_raw,bank_group,offices,deposits_million_rs,credit_million_rs,region_name_clean,state_name_clean,district_name_clean
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Panchkula,new_private_banks,31.0,52847.0,4953.0,NORTHERN REGION,HARYANA,PANCHKULA
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Panipat,state_bank_of_india_and_its_associates,32.0,11828.0,21341.0,NORTHERN REGION,HARYANA,PANIPAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Panipat,nationalised_banks,92.0,33271.0,35165.0,NORTHERN REGION,HARYANA,PANIPAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Panipat,foreign_banks,1.0,28.0,94.0,NORTHERN REGION,HARYANA,PANIPAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Panipat,regional_rural_banks,7.0,427.0,901.0,NORTHERN REGION,HARYANA,PANIPAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Panipat,old_private_banks,6.0,1058.0,1630.0,NORTHERN REGION,HARYANA,PANIPAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Panipat,new_private_banks,29.0,7328.0,8148.0,NORTHERN REGION,HARYANA,PANIPAT
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Rewari,state_bank_of_india_and_its_associates,13.0,8918.0,3785.0,NORTHERN REGION,HARYANA,REWARI
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Rewari,nationalised_banks,61.0,26479.0,11159.0,NORTHERN REGION,HARYANA,REWARI
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Rewari,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,REWARI
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Rewari,regional_rural_banks,36.0,7617.0,3663.0,NORTHERN REGION,HARYANA,REWARI
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Rewari,old_private_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,REWARI
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Rewari,new_private_banks,12.0,7619.0,2642.0,NORTHERN REGION,HARYANA,REWARI
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Rohtak,state_bank_of_india_and_its_associates,34.0,19330.0,6293.0,NORTHERN REGION,HARYANA,ROHTAK
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Rohtak,nationalised_banks,87.0,48779.0,27506.0,NORTHERN REGION,HARYANA,ROHTAK
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Rohtak,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,ROHTAK
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Rohtak,regional_rural_banks,22.0,6145.0,3605.0,NORTHERN REGION,HARYANA,ROHTAK
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Rohtak,old_private_banks,3.0,510.0,237.0,NORTHERN REGION,HARYANA,ROHTAK
