snapshot_label,snapshot_year,snapshot_month,region_name_raw,region_name_clean,state_name_raw,state_name_clean,district_name_raw,district_name_clean,reporting_offices_total,deposits_total_million_rs,credit_total_million_rs,deposits_total_crore_rs,credit_total_crore_rs
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Raipur,RAIPUR,324.0,225756.0,258156.0,22575.6,25815.6
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Rajnandgaon,RAJNANDGAON,102.0,25569.0,11354.0,2556.9,1135.4
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Sukma,SUKMA,9.0,2494.0,535.0,249.4,53.5
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Surajpur,SURAJPUR,57.0,14254.0,3618.0,1425.4,361.8
2013-12,2013,12,CENTRAL REGION,CENTRAL REGION,CHHATTISGARH,CHHATTISGARH,Surguja,SURGUJA,68.0,22870.0,6952.0,2287.0,695.2
2013-12,2013,12,WESTERN REGION,WESTERN REGION,DADRA & NAGAR HAVELI,DADRA AND NAGAR HAVELI,Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,47.0,23693.0,7273.0,2369.3,727.3
2013-12,2013,12,WESTERN REGION,WESTERN REGION,DAMAN & DIU,DAMAN AND DIU,Daman,DAMAN,27.0,19384.0,5586.0,1938.4,558.6
2013-12,2013,12,WESTERN REGION,WESTERN REGION,DAMAN & DIU,DAMAN AND DIU,Diu,DIU,13.0,10474.0,348.0,1047.4,34.8
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GOA,GOA,North Goa,NORTH GOA,344.0,243690.0,77232.0,24369.0,7723.2
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GOA,GOA,South Goa,SOUTH GOA,237.0,190555.0,44327.0,19055.5,4432.7
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Ahmedabad,AHMEDABAD,978.0,1084780.0,1206983.0,108478.0,120698.3
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Amreli,AMRELI,144.0,34707.0,19603.0,3470.7,1960.3
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Anand,ANAND,268.0,188201.0,36354.0,18820.1,3635.4
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Aravalli,ARAVALLI,68.0,14384.0,10814.0,1438.4,1081.4
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Banas Kantha,BANAS KANTHA,157.0,39879.0,33524.0,3987.9,3352.4
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Bharuch,BHARUCH,207.0,96681.0,38400.0,9668.1,3840.0
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Bhavnagar,BHAVNAGAR,201.0,103321.0,48169.0,10332.1,4816.9
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Botad,BOTAD,40.0,8557.0,6236.0,855.7,623.6
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Dangs,DANGS,12.0,3534.0,682.0,353.4,68.2
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Dohad,DOHAD,88.0,22912.0,7364.0,2291.2,736.4
2013-12,2013,12,WESTERN REGION,WESTERN REGION,GUJARAT,GUJARAT,Gandhinagar,GANDHINAGAR,195.0,170933.0,84904.0,17093.3,8490.4
